"period_type","start_date","end_date","salesman_fio","chif_fio","sales_count","sales_sum","max_overcharge_item","max_overcharge_percent"
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,54559,Формовка,53.601
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,,,162,87359854,Доставка,78.801
week,2018-11-05 00:00:00.000,2018-11-11 00:00:00.000,Крыжов Дмитрий Прокофиевич,Янушко Анастасия Антониновна,1,638928,"БСТ B12,5 П3,П4",56.985
week,2018-11-05 00:00:00.000,2018-11-11 00:00:00.000,Лашкина Инесса Святославовна,Коченкова Розалия Федоровна,1,518994,"БСТ B 7,5 П3,П4",31.059
week,2018-11-05 00:00:00.000,2018-11-11 00:00:00.000,Пряхина Александра Мефодиевна,Коченкова Розалия Федоровна,1,695252,"Мелкозернистый бетон БСМ B25 П3,П4",60.938
week,2018-11-05 00:00:00.000,2018-11-11 00:00:00.000,Румянцева Варвара Всеволодовна,Кокоткин Аркадий Анатолиевич,2,1256514,БСТ B35 П5 F1300 W12,46.261
week,2018-11-05 00:00:00.000,2018-11-11 00:00:00.000,Фарест Александр Вячеславович,Касатый Ника Федотовна,2,818839,БСТ B30 П4 F1200 W10,52.714
week,2018-11-05 00:00:00.000,2018-11-11 00:00:00.000,,,35,18409008,Упаковка европалет,75.200
week,2018-11-12 00:00:00.000,2018-11-18 00:00:00.000,Кокоткин Аркадий Анатолиевич,Кокоткин Аркадий Анатолиевич,1,822564,БСТ B25 П4 F1200 W10,65.173
week,2018-11-12 00:00:00.000,2018-11-18 00:00:00.000,Румянцева Варвара Всеволодовна,Кокоткин Аркадий Анатолиевич,1,522600,"БСТ B20 П3,П4",20.415
week,2018-11-12 00:00:00.000,2018-11-18 00:00:00.000,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,39917,Фасовка,26.001
week,2018-11-12 00:00:00.000,2018-11-18 00:00:00.000,,,36,19895676,Доставка,78.801
week,2018-11-19 00:00:00.000,2018-11-25 00:00:00.000,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1033326,Раствор М100 Пк3,43.120
week,2018-11-19 00:00:00.000,2018-11-25 00:00:00.000,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,664224,Раствор кладочный М100 Пк3,76.655
week,2018-11-19 00:00:00.000,2018-11-25 00:00:00.000,Касатый Ника Федотовна,Касатый Ника Федотовна,2,785377,БСТ B40 П5 F1300 W14,38.449
week,2018-11-19 00:00:00.000,2018-11-25 00:00:00.000,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,1,837360,Пусковая смесь,33.978
week,2018-11-19 00:00:00.000,2018-11-25 00:00:00.000,Лашкина Инесса Святославовна,Коченкова Розалия Федоровна,2,1323751,"БСТ B12,5 П3,П4",69.682
week,2018-11-19 00:00:00.000,2018-11-25 00:00:00.000,,,39,20249919,"БСТ B12,5 П3,П4",70.836
week,2018-11-26 00:00:00.000,2018-12-02 00:00:00.000,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,787776,БСТ B45 П5 F1300 W16,40.926
week,2018-11-26 00:00:00.000,2018-12-02 00:00:00.000,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,824865,БСТ B60 П5 F1300 W20,36.341
week,2018-11-26 00:00:00.000,2018-12-02 00:00:00.000,Касатый Ника Федотовна,Касатый Ника Федотовна,1,47295,Доставка,42.799
week,2018-11-26 00:00:00.000,2018-12-02 00:00:00.000,Лашкина Инесса Святославовна,Коченкова Розалия Федоровна,1,38039,Упаковка европалет,24.800
week,2018-11-26 00:00:00.000,2018-12-02 00:00:00.000,Путина Юлия Петровна,Янушко Анастасия Антониновна,2,589228,Упаковка европалет,54.800
week,2018-11-26 00:00:00.000,2018-12-02 00:00:00.000,Розенбаха Агния Давидовна,Касатый Ника Федотовна,1,910767,БСТ B50 П5 F1300 W18,58.394
week,2018-11-26 00:00:00.000,2018-12-02 00:00:00.000,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,54559,Формовка,53.601
week,2018-11-26 00:00:00.000,2018-12-02 00:00:00.000,,,38,18628035,Доставка,78.801
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Алексеев Никита Карлович,Касатый Ника Федотовна,4,2944260,БСТ B35 П5 F1300 W12,67.156
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,3,1900408,"Мелкозернистый бетон БСМ B25 П3,П4",56.529
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,3,2450819,БСТ B30 П4 F1200 W10,68.790
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Касатый Ника Федотовна,Касатый Ника Федотовна,4,2599179,"БСТ B22,5 П4 F1100 W6",67.900
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,5,2416368,Доставка,46.401
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Кокоткин Аркадий Анатолиевич,Кокоткин Аркадий Анатолиевич,1,488592,Раствор М150 Пк3,31.696
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Косма Ефросиния Тимуровна,Янушко Анастасия Антониновна,2,87154,Формовка,33.201
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Коченкова Розалия Федоровна,Коченкова Розалия Федоровна,3,2113503,БСТ B40 П5 F1300 W14,49.705
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Крыжов Дмитрий Прокофиевич,Янушко Анастасия Антониновна,3,1886348,БСТ B45 П5 F1300 W16,60.143
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Пряхина Александра Мефодиевна,Коченкова Розалия Федоровна,2,95830,Упаковка европалет,57.201
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Путина Юлия Петровна,Янушко Анастасия Антониновна,2,1297268,БСТ B30 П4 F1150 W10,71.070
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Румянцева Варвара Всеволодовна,Кокоткин Аркадий Анатолиевич,3,1599320,БСТ B25 П4 F1150 W8,69.698
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,583500,"БСТ B15 П3,П4",40.942
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,8,3996254,Раствор М200 Пк3,59.007
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,1123069,Раствор М150 Пк3,53.267
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,608025,"БСТ B20 П3,П4",40.098
month,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,,,172,96749983,Раствор кладочный М100 Пк3,76.655
week,2018-12-03 00:00:00.000,2018-12-09 00:00:00.000,Касатый Ника Федотовна,Касатый Ника Федотовна,1,523113,"БСТ B 7,5 П3,П4",32.099
week,2018-12-03 00:00:00.000,2018-12-09 00:00:00.000,Кокоткин Аркадий Анатолиевич,Кокоткин Аркадий Анатолиевич,1,488592,Раствор М150 Пк3,31.696
week,2018-12-03 00:00:00.000,2018-12-09 00:00:00.000,Косма Ефросиния Тимуровна,Янушко Анастасия Антониновна,1,47313,Формовка,33.201
week,2018-12-03 00:00:00.000,2018-12-09 00:00:00.000,Крыжов Дмитрий Прокофиевич,Янушко Анастасия Антониновна,1,448448,Раствор кладочный М150 Пк3,16.178
week,2018-12-03 00:00:00.000,2018-12-09 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,1169796,"БСТ B 7,5 П3,П4",47.702
week,2018-12-03 00:00:00.000,2018-12-09 00:00:00.000,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,554449,БСТ B30 П4 F1150 W10,17.468
week,2018-12-03 00:00:00.000,2018-12-09 00:00:00.000,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,608025,"БСТ B20 П3,П4",40.098
week,2018-12-03 00:00:00.000,2018-12-09 00:00:00.000,,,41,20999993,БСТ B25 П4 F1150 W8,71.991
week,2018-12-10 00:00:00.000,2018-12-16 00:00:00.000,Алексеев Никита Карлович,Касатый Ника Федотовна,1,660240,БСТ B25 П4 F1150 W8,44.473
week,2018-12-10 00:00:00.000,2018-12-16 00:00:00.000,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,2,1224204,БСТ B45 П5 F1300 W16,31.317
week,2018-12-10 00:00:00.000,2018-12-16 00:00:00.000,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,2,542168,Доставка,46.401
week,2018-12-10 00:00:00.000,2018-12-16 00:00:00.000,Пряхина Александра Мефодиевна,Коченкова Розалия Федоровна,2,95830,Упаковка европалет,57.201
week,2018-12-10 00:00:00.000,2018-12-16 00:00:00.000,Путина Юлия Петровна,Янушко Анастасия Антониновна,1,807450,БСТ B30 П4 F1150 W10,71.070
week,2018-12-10 00:00:00.000,2018-12-16 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,3,1001699,Дегидрация,41.601
week,2018-12-10 00:00:00.000,2018-12-16 00:00:00.000,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,568620,Раствор М150 Пк3,53.267
week,2018-12-10 00:00:00.000,2018-12-16 00:00:00.000,,,34,18944307,"БСТ B15 П3,П4",69.130
week,2018-12-17 00:00:00.000,2018-12-23 00:00:00.000,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,676204,"Мелкозернистый бетон БСМ B25 П3,П4",56.529
week,2018-12-17 00:00:00.000,2018-12-23 00:00:00.000,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,2,1593368,БСТ B30 П4 F1150 W10,68.789
week,2018-12-17 00:00:00.000,2018-12-23 00:00:00.000,Касатый Ника Федотовна,Касатый Ника Федотовна,1,579198,БСТ B35 П5 F1200 W12,19.917
week,2018-12-17 00:00:00.000,2018-12-23 00:00:00.000,Косма Ефросиния Тимуровна,Янушко Анастасия Антониновна,1,39841,Дегидрация,22.399
week,2018-12-17 00:00:00.000,2018-12-23 00:00:00.000,Коченкова Розалия Федоровна,Коченкова Розалия Федоровна,2,1306592,БСТ B30 П4 F1200 W10,28.602
week,2018-12-17 00:00:00.000,2018-12-23 00:00:00.000,Крыжов Дмитрий Прокофиевич,Янушко Анастасия Антониновна,1,895200,БСТ B45 П5 F1300 W16,60.143
week,2018-12-17 00:00:00.000,2018-12-23 00:00:00.000,Путина Юлия Петровна,Янушко Анастасия Антониновна,1,489818,"Мелкозернистый бетон БСМ B15 П3,П4",23.691
week,2018-12-17 00:00:00.000,2018-12-23 00:00:00.000,Румянцева Варвара Всеволодовна,Кокоткин Аркадий Анатолиевич,2,1551040,БСТ B25 П4 F1150 W8,69.698
week,2018-12-17 00:00:00.000,2018-12-23 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,1174999,Раствор М200 Пк3,59.007
week,2018-12-17 00:00:00.000,2018-12-23 00:00:00.000,,,36,23378937,Доставка,76.401
week,2018-12-24 00:00:00.000,2018-12-30 00:00:00.000,Алексеев Никита Карлович,Касатый Ника Федотовна,3,2284020,БСТ B35 П5 F1300 W12,67.156
week,2018-12-24 00:00:00.000,2018-12-30 00:00:00.000,Касатый Ника Федотовна,Касатый Ника Федотовна,2,1496868,"БСТ B22,5 П4 F1100 W6",67.900
week,2018-12-24 00:00:00.000,2018-12-30 00:00:00.000,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,3,1874200,"БСТ B20 П3,П4",40.098
week,2018-12-24 00:00:00.000,2018-12-30 00:00:00.000,Коченкова Розалия Федоровна,Коченкова Розалия Федоровна,1,806911,БСТ B40 П5 F1300 W14,49.705
week,2018-12-24 00:00:00.000,2018-12-30 00:00:00.000,Крыжов Дмитрий Прокофиевич,Янушко Анастасия Антониновна,1,542700,"БСТ B20 П3,П4",25.046
week,2018-12-24 00:00:00.000,2018-12-30 00:00:00.000,Румянцева Варвара Всеволодовна,Кокоткин Аркадий Анатолиевич,1,48280,Упаковка европалет,58.399
week,2018-12-24 00:00:00.000,2018-12-30 00:00:00.000,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,583500,"БСТ B15 П3,П4",40.942
week,2018-12-24 00:00:00.000,2018-12-30 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,649760,БСТ B25 П4 F1150 W8,42.179
week,2018-12-24 00:00:00.000,2018-12-30 00:00:00.000,,,46,25446777,Раствор кладочный М100 Пк3,76.655
week,2018-12-31 00:00:00.000,2019-01-06 00:00:00.000,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,857451,БСТ B30 П4 F1200 W10,68.790
week,2018-12-31 00:00:00.000,2019-01-06 00:00:00.000,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,2,1267839,Раствор кладочный М150 Пк3,45.941
week,2018-12-31 00:00:00.000,2019-01-06 00:00:00.000,Крыжов Дмитрий Прокофиевич,Янушко Анастасия Антониновна,1,678340,БСТ B35 П5 F1200 W12,39.634
week,2018-12-31 00:00:00.000,2019-01-06 00:00:00.000,Лашкина Инесса Святославовна,Коченкова Розалия Федоровна,2,692564,Дегидрация,47.601
week,2018-12-31 00:00:00.000,2019-01-06 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,482830,Раствор М200 Пк3,15.759
week,2018-12-31 00:00:00.000,2019-01-06 00:00:00.000,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,662448,БСТ B45 П5 F1300 W16,16.669
week,2018-12-31 00:00:00.000,2019-01-06 00:00:00.000,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,699194,"Мелкозернистый бетон БСМ B22,5 П3,П4",57.832
week,2018-12-31 00:00:00.000,2019-01-06 00:00:00.000,,,45,25267546,Формовка,80.000
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Алексеев Никита Карлович,Касатый Ника Федотовна,5,3618611,БСТ B35 П5 F1300 W12,62.606
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,47549,Упаковка европалет,56.001
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,601392,Раствор кладочный М100 Пк3,46.717
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,2,1432756,БСТ B35 П5 F1300 W12,28.775
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,2,1267839,Раствор кладочный М150 Пк3,45.941
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Кокоткин Аркадий Анатолиевич,Кокоткин Аркадий Анатолиевич,2,851099,БСТ B45 П5 F1300 W16,42.946
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Косма Ефросиния Тимуровна,Янушко Анастасия Антониновна,2,1350446,БСТ B35 П5 F1200 W12,55.745
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Коченкова Розалия Федоровна,Коченкова Розалия Федоровна,3,2084710,"Мелкозернистый бетон БСМ B 7,5 П3,П4",58.148
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Крыжов Дмитрий Прокофиевич,Янушко Анастасия Антониновна,4,1842662,Дегидрация,71.601
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Лашкина Инесса Святославовна,Коченкова Розалия Федоровна,5,1346764,Фасовка,47.601
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Пряхина Александра Мефодиевна,Коченкова Розалия Федоровна,1,570572,"Мелкозернистый бетон БСМ B 7,5 П3,П4",46.151
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Путина Юлия Петровна,Янушко Анастасия Антониновна,4,2554019,БСТ B25 П4 F1200 W10,44.850
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Розенбаха Агния Давидовна,Касатый Ника Федотовна,1,468342,Раствор М100 Пк3,28.595
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Румянцева Варвара Всеволодовна,Кокоткин Аркадий Анатолиевич,6,4208328,БСТ B30 П4 F1200 W10,52.719
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Фарест Александр Вячеславович,Касатый Ника Федотовна,3,1413347,Упаковка европалет,65.600
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,4,2562741,"БСТ B20 П3,П4",43.850
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,3,1223452,Фасовка,48.801
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,699194,"Мелкозернистый бетон БСМ B22,5 П3,П4",57.832
month,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,,,177,97514535,Упаковка европалет,80.000
week,2019-01-07 00:00:00.000,2019-01-13 00:00:00.000,Алексеев Никита Карлович,Касатый Ника Федотовна,1,904579,БСТ B35 П5 F1300 W12,62.606
week,2019-01-07 00:00:00.000,2019-01-13 00:00:00.000,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,2,1432756,БСТ B35 П5 F1300 W12,28.775
week,2019-01-07 00:00:00.000,2019-01-13 00:00:00.000,Косма Ефросиния Тимуровна,Янушко Анастасия Антониновна,1,756610,БСТ B35 П5 F1200 W12,55.745
week,2019-01-07 00:00:00.000,2019-01-13 00:00:00.000,Лашкина Инесса Святославовна,Коченкова Розалия Федоровна,2,93520,Фасовка,47.601
week,2019-01-07 00:00:00.000,2019-01-13 00:00:00.000,Пряхина Александра Мефодиевна,Коченкова Розалия Федоровна,1,570572,"Мелкозернистый бетон БСМ B 7,5 П3,П4",46.151
week,2019-01-07 00:00:00.000,2019-01-13 00:00:00.000,Румянцева Варвара Всеволодовна,Кокоткин Аркадий Анатолиевич,1,839952,БСТ B30 П4 F1200 W10,52.719
week,2019-01-07 00:00:00.000,2019-01-13 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,1411586,БСТ B30 П4 F1200 W10,28.326
week,2019-01-07 00:00:00.000,2019-01-13 00:00:00.000,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,561004,Фасовка,48.801
week,2019-01-07 00:00:00.000,2019-01-13 00:00:00.000,,,45,23615558,Упаковка европалет,67.999
week,2019-01-14 00:00:00.000,2019-01-20 00:00:00.000,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1463382,"БСТ B22,5 П4 F1100 W6",50.358
week,2019-01-14 00:00:00.000,2019-01-20 00:00:00.000,Кокоткин Аркадий Анатолиевич,Кокоткин Аркадий Анатолиевич,1,811648,БСТ B45 П5 F1300 W16,42.946
week,2019-01-14 00:00:00.000,2019-01-20 00:00:00.000,Коченкова Розалия Федоровна,Коченкова Розалия Федоровна,1,617410,"Мелкозернистый бетон БСМ B 7,5 П3,П4",58.148
week,2019-01-14 00:00:00.000,2019-01-20 00:00:00.000,Крыжов Дмитрий Прокофиевич,Янушко Анастасия Антониновна,2,1108466,"Мелкозернистый бетон БСМ B15 П3,П4",10.248
week,2019-01-14 00:00:00.000,2019-01-20 00:00:00.000,Путина Юлия Петровна,Янушко Анастасия Антониновна,1,754956,БСТ B25 П4 F1200 W10,44.850
week,2019-01-14 00:00:00.000,2019-01-20 00:00:00.000,Румянцева Варвара Всеволодовна,Кокоткин Аркадий Анатолиевич,4,2763088,БСТ B35 П5 F1200 W12,27.818
week,2019-01-14 00:00:00.000,2019-01-20 00:00:00.000,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,668745,БСТ B50 П5 F1300 W18,11.943
week,2019-01-14 00:00:00.000,2019-01-20 00:00:00.000,,,41,24728590,Доставка,77.600
week,2019-01-21 00:00:00.000,2019-01-27 00:00:00.000,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1250650,"Мелкозернистый бетон БСМ B25 П3,П4",55.411
week,2019-01-21 00:00:00.000,2019-01-27 00:00:00.000,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,601392,Раствор кладочный М100 Пк3,46.717
week,2019-01-21 00:00:00.000,2019-01-27 00:00:00.000,Косма Ефросиния Тимуровна,Янушко Анастасия Антониновна,1,593836,"Мелкозернистый бетон БСМ B22,5 П3,П4",34.049
week,2019-01-21 00:00:00.000,2019-01-27 00:00:00.000,Крыжов Дмитрий Прокофиевич,Янушко Анастасия Антониновна,1,55856,Дегидрация,71.601
week,2019-01-21 00:00:00.000,2019-01-27 00:00:00.000,Лашкина Инесса Святославовна,Коченкова Розалия Федоровна,1,560680,БСТ B25 П4 F1150 W8,11.778
week,2019-01-21 00:00:00.000,2019-01-27 00:00:00.000,Путина Юлия Петровна,Янушко Анастасия Антониновна,3,1799063,БСТ B35 П5 F1300 W12,32.049
week,2019-01-21 00:00:00.000,2019-01-27 00:00:00.000,Розенбаха Агния Давидовна,Касатый Ника Федотовна,1,468342,Раствор М100 Пк3,28.595
week,2019-01-21 00:00:00.000,2019-01-27 00:00:00.000,Румянцева Варвара Всеволодовна,Кокоткин Аркадий Анатолиевич,1,605288,БСТ B35 П5 F1200 W12,24.596
week,2019-01-21 00:00:00.000,2019-01-27 00:00:00.000,Фарест Александр Вячеславович,Касатый Ника Федотовна,2,744602,Упаковка европалет,65.600
week,2019-01-21 00:00:00.000,2019-01-27 00:00:00.000,,,30,17474608,Формовка,75.200
week,2019-01-28 00:00:00.000,2019-02-03 00:00:00.000,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,47549,Упаковка европалет,56.001
week,2019-01-28 00:00:00.000,2019-02-03 00:00:00.000,Кокоткин Аркадий Анатолиевич,Кокоткин Аркадий Анатолиевич,2,822610,БСТ B35 П5 F1300 W12,40.780
week,2019-01-28 00:00:00.000,2019-02-03 00:00:00.000,Коченкова Розалия Федоровна,Коченкова Розалия Федоровна,2,1467300,"БСТ B20 П3,П4",57.910
week,2019-01-28 00:00:00.000,2019-02-03 00:00:00.000,Путина Юлия Петровна,Янушко Анастасия Антониновна,1,641630,БСТ B30 П4 F1200 W10,16.660
week,2019-01-28 00:00:00.000,2019-02-03 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,668325,"БСТ B20 П3,П4",43.850
week,2019-01-28 00:00:00.000,2019-02-03 00:00:00.000,,,39,19007225,Упаковка европалет,67.999
month,2019-02-01 00:00:00.000,2019-02-28 00:00:00.000,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,3,1270039,Фасовка,80.000
month,2019-02-01 00:00:00.000,2019-02-28 00:00:00.000,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,5,1182060,Доставка,38.001
month,2019-02-01 00:00:00.000,2019-02-28 00:00:00.000,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,859392,БСТ B45 П5 F1300 W16,51.355
month,2019-02-01 00:00:00.000,2019-02-28 00:00:00.000,Касатый Ника Федотовна,Касатый Ника Федотовна,3,2200753,"БСТ B20 П3,П4",53.584
month,2019-02-01 00:00:00.000,2019-02-28 00:00:00.000,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,3,1973816,"Мелкозернистый бетон БСМ B 7,5 П3,П4",55.967
month,2019-02-01 00:00:00.000,2019-02-28 00:00:00.000,Кокоткин Аркадий Анатолиевич,Кокоткин Аркадий Анатолиевич,1,783159,БСТ B35 П5 F1300 W12,40.780
month,2019-02-01 00:00:00.000,2019-02-28 00:00:00.000,Косма Ефросиния Тимуровна,Янушко Анастасия Антониновна,2,1584987,БСТ B60 П5 F1300 W20,42.078
